Company Name,Year of experience,Job location,Skills required,Publised days ago
statxo analytics,6 yrs,"Gurgaon,  Bengaluru / Bangalore","arima  ,  advanced analytics  ,  visualization  ,  business requirements  ,  spotfire  ,  sql  ,  tableau  ,  advanced excel  ,  ms office suite  ,  data scientist",0.0
Exxonmobil Company India Pvt Ltd,13 yrs,Bengaluru / Bangalore,"bi  ,  sql  ,  database management  ,  security  ,  database  ,  pl  /  sql  ,  ipm",1.0
"Maxgen Technologies
     (More Jobs)",1 yrs,"Mumbai,  Dombivali,  Kalyan,  Navi Mumbai,  Thane","data scientist   ,  Sql",2.0
"Shree Jeevika
     (More Jobs)",6 yrs,Kolkata,"Accounts knowledge  ,  Accounting  ,  Bank Reconciliation  ,  Balance Sheet  ,  Tally  ,  Tds  ,  Excel  ,  Tally Erp  ,  Advanced Excel",2.0
WALMART INDIA,7 yrs,,"dashboards  ,  advanced analytics  ,  data analytics  ,  director  ,  alteryx  ,  data mining  ,  bi  ,  sql  ,  data visualization  ,  data analysis  ,  consulting  ,  business analytics  ,  tableau  ,  statistical analysis",1.0
"PearVisa
     (More Jobs)",11 yrs,"Australia,  Canada","Tax Audit  ,  Tax Cost Audit  ,  Tax Audits Income Tax  ,  Tax Law  ,  Accounting  ,  Taxation Auditing  ,  Advance Corporate Tax  ,  Tax Planning  ,  Tax Compliance",0.0
"Maxgen Technologies
     (More Jobs)",1 yrs,"Ahmedabad,  Bhavnagar,  Gandhinagar,  Jamnagar,  Mehsana","hiring  ,  data science  ,  sql",2.0
"Maxgen Technologies
     (More Jobs)",1 yrs,"Pune,  Amravati,  Aurangabad,  Sangli,  Satara","data science  ,  sql  ,  join",2.0
"LTIMindtree Ltd.
     (More Jobs)",5 yrs,Mumbai,"RSA Archer  ,  SQL  ,  Audit Management  ,  Issue Management  ,  Compliance Management",30.0
WALMART INDIA,6 yrs,,"accounting  ,  stock  ,  dealing  ,  ar  ,  reporting  ,  excel  ,  finance",1.0
"Electrobrain modern technologies pvt ltd
     (More Jobs)",7 yrs,"Gurgaon,  Hyderabad/Secunderabad,  Mumbai,  Noida/Greater Noida,  Pune","IT Application Programming  ,  Legacy System  ,  Sql  ,  Java  ,  Oracle  ,  C  ,  Html  ,  Css  ,  Ajax  ,  Javascript  ,  Php  ,  Wordpress  ,  Magento  ,  Codeigniter  ,  Jquery  ,  Json  ,  Xml Parsing  ,  Sqlite  ,  Android",0.0
"Electrobrain modern technologies pvt ltd
     (More Jobs)",7 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Delhi/NCR","IT Application Programming  ,  Legacy System  ,  Sql  ,  Java  ,  Oracle  ,  C  ,  Html  ,  Css  ,  Ajax  ,  Javascript  ,  Php  ,  Wordpress  ,  Magento  ,  Codeigniter  ,  Jquery  ,  Json  ,  Xml Parsing  ,  Sqlite  ,  Android",2.0
"Electrobrain modern technologies pvt ltd
     (More Jobs)",7 yrs,"Gurgaon,  Hyderabad/Secunderabad,  Mumbai,  Noida/Greater Noida,  Pune","Angular  ,  oracle BD  ,  Node.Js  ,  SQL Database  ,  react.js  ,  java  ,  Server  ,  LAMP Stack  ,  MERN Stack  ,  CSS  ,  HTML   ,  GitHub   ,  Web Storage   ,  Databases  ,  HTTP  ,  Mockito   ,   JVM Internals",0.0
"Electrobrain modern technologies pvt ltd
     (More Jobs)",7 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Delhi/NCR","Angular  ,  oracle BD  ,  Node.Js  ,  SQL Database  ,  react.js  ,  java  ,  Server  ,  LAMP Stack  ,  MERN Stack  ,  CSS  ,  HTML   ,  GitHub   ,  Web Storage   ,  Databases  ,  HTTP  ,  Mockito   ,   JVM Internals",2.0
"MARGSOFT TECHNOLOGIES PRIVATE LIMITED
     (More Jobs)",8 yrs,Lucknow,"ASP.net  /  MVC  /  c#  ,  SQL Server   (  2012+  )    ,  .net 4.0 + Framework  ,   with VS 12 and above  ,  .net core  ,   EF Core   /  c#.net  ,  Web API   (  REST Web Services  )    ,  CSS3.0  /  CSS4.0  /  HTML5",1.0
rheinbrücke it consulting pvt ltd,8 yrs,Chennai,"bi  ,  t-sql  ,  sql  ,  written communication  ,  sql developer",0.0
APPLYCUP HIRING SOLUTIONS LLP,5 yrs,Pune,"information technology  ,  sql  ,  database  ,  sql developer  ,  problem solving  ,  team player  ,  triggers  ,  written communication  ,  sql programming",0.0
SONET MICROSYSTEMS PVT. LTD.,3 yrs,Noida/Greater Noida,"rest  ,  html5  ,  mobile  ,  eclipse  ,  java  ,  xml  ,  json  ,  debugging  ,  technical skills  ,  soap",0.0
Maxus Technologies Pvt. Ltd.,8 yrs,Mumbai,"sql coding  ,  sql  ,  database development  ,  database  ,  ssrs  ,  technical skills  ,  problem solving  ,  triggers  ,  application support",0.0
